size,runtime_ms,flow_value,num_edges
50,0,48,48
50,1.467,50,50
50,0,49,49
50,0,49,49
50,0,49,49
100,0.57,100,100
100,0,100,100
100,0,100,100
100,2.1,100,100
100,0,100,100
200,2.104,200,200
200,1.936,200,200
200,2.949,200,200
200,0,200,200
200,1.883,200,200
300,0,300,300
300,1.522,300,300
300,4.951,300,300
300,3.662,300,300
300,2.449,300,300
400,7.013,400,400
400,6.254,400,400
400,5.515,400,400
400,6.464,400,400
400,5.707,400,400
500,7.938,500,500
500,16.409,500,500
500,10.455,500,500
500,7.963,500,500
500,8.434,500,500
750,22.795,750,750
750,23.992,750,750
750,20.676,750,750
750,24.012,750,750
750,21.412,750,750
1000,45.564,1000,1000
1000,42.135,1000,1000
1000,47.591,1000,1000
1000,39.215,1000,1000
1000,38.133,1000,1000
